V2 48.159 ms 
V1 44.710 ms 
V1 48.464 ms 
V2 49.780 ms 
V1 44.716 ms 
V2 51.584 ms 
V2 47.196 ms 
V1 48.690 ms 
V2 53.531 ms 
V1 46.089 ms 
V1 46.393 ms 
V2 46.616 ms 
V1 46.410 ms 
V2 52.205 ms 
V2 50.062 ms 
V1 50.085 ms 
V1 46.185 ms 
V2 46.520 ms 
V1 42.530 ms 
V2 46.944 ms 
V1 46.004 ms 
V2 51.185 ms 
V2 54.011 ms 
V1 49.071 ms 
V2 51.485 ms 
V1 44.556 ms 
V2 53.323 ms 
V1 45.187 ms 
V2 52.761 ms 
V1 44.403 ms 
V1 47.215 ms 
V2 54.456 ms 
V2 53.739 ms 
V1 47.076 ms 
V1 52.481 ms 
V2 50.201 ms 
V2 55.191 ms 
V1 47.197 ms 
V1 48.563 ms 
V2 52.827 ms 
V1 43.026 ms 
V2 49.675 ms 
V1 47.960 ms 
V2 46.854 ms 
V1 47.002 ms 
V2 48.696 ms 
V1 41.251 ms 
V2 55.410 ms 
V2 47.707 ms 
V1 48.609 ms 
V1 44.369 ms 
V2 47.157 ms 
V1 46.359 ms 
V2 54.392 ms 
V2 48.906 ms 
V1 44.913 ms 
V2 48.548 ms 
V1 45.714 ms 
V1 48.706 ms 
V2 46.383 ms 
